ds,yhat1
2022-07-26,2.828697
2022-07-27,2.7289717
2022-07-28,3.0054245
2022-07-29,3.175181
2022-07-30,2.9852087
2022-07-31,3.0759444
2022-08-01,3.0406647
2022-08-02,3.118671
2022-08-03,2.9966414
2022-08-04,3.250419
2022-08-05,3.396124
2022-08-06,3.1813474
2022-08-07,3.2472122
2022-08-08,3.186931
2022-08-09,3.2402582
2022-08-10,3.093568
2022-08-11,3.3233438
2022-08-12,3.4463396
2022-08-13,3.2095046
2022-08-14,3.254845
2022-08-15,3.1755128
2022-08-16,3.2115397
2022-08-17,3.0495942
2022-08-18,3.265604
2022-08-19,3.3774428
2022-08-20,3.1312666
2022-08-21,3.169826
2022-08-22,3.0859573
2022-08-23,3.1196759
2022-08-24,2.9580956
2022-08-25,3.1767504
2022-08-26,3.2928827
2022-08-27,3.054451
2022-08-28,3.1020877
2022-08-29,3.0295181
2022-08-30,3.076508
2022-08-31,2.9296255
2022-09-01,3.16528
2022-09-02,3.299519
2022-09-03,3.0801878
2022-09-04,3.1482334
2022-09-05,3.096831
2022-09-06,3.1655204
2022-09-07,3.0408285
2022-09-08,3.298569
2022-09-09,3.455176
2022-09-10,3.2576447
2022-09-11,3.3467636
2022-09-12,3.3157198
2022-09-13,3.403856
2022-09-14,3.2973626
2022-09-15,3.5714922
2022-09-16,3.7432103
2022-09-17,3.5585222
2022-09-18,3.659407
2022-09-19,3.6374907
2022-09-20,3.732482
2022-09-21,3.6305692
2022-09-22,3.9072137
2022-09-23,4.078552
2022-09-24,3.89124
2022-09-25,3.9865355
2022-09-26,3.9568326
2022-09-27,4.041583
2022-09-28,3.926735
2022-09-29,4.1880574
2022-09-30,4.3422093
2022-10-01,4.1351824
2022-10-02,4.208546
2022-10-03,4.1551747
2022-10-04,4.2143803
2022-10-05,4.0727687
2022-10-06,4.3051896
2022-10-07,4.429372
2022-10-08,4.1918697
2022-10-09,4.2335267
2022-10-10,4.1478443
2022-10-11,4.1742253
2022-10-12,3.999927
2022-10-13,4.1996627
2022-10-14,4.2907662
2022-10-15,4.0208817
2022-10-16,4.0310326
2022-10-17,3.914504
2022-10-18,3.911175
2022-10-19,3.707436
2022-10-20,3.8802662
2022-10-21,3.9456682
2022-10-22,3.6513157
2022-10-23,3.6388288
2022-10-24,3.5014784
2022-10-25,3.4792798
2022-10-26,3.258761
2022-10-27,3.4163237
2022-10-28,3.4690924
2022-10-29,3.1637328
2022-10-30,3.142319
2022-10-31,2.998217
2022-11-01,2.9709988
2022-11-02,2.747894
2022-11-03,2.9043236
2022-11-04,2.9576323
2022-11-05,2.6548038
2022-11-06,2.637411
2022-11-07,2.4987707
2022-11-08,2.4784915
2022-11-09,2.2633343
2022-11-10,2.4289367
2022-11-11,2.4924011
2022-11-12,2.2008162
2022-11-13,2.1952581
2022-11-14,2.0689554
2022-11-15,2.0614367
2022-11-16,1.8594344
2022-11-17,2.0384133
2022-11-18,2.1151876
2022-11-19,1.8368382
2022-11-20,1.8443457
2022-11-21,1.7308418
2022-11-22,1.7356794
2022-11-23,1.5456641
2022-11-24,1.73625
2022-11-25,1.8239281
2022-11-26,1.5559146
2022-11-27,1.5732993
2022-11-28,1.4687805
2022-11-29,1.4819996
2022-11-30,1.2996457
2022-12-01,1.4973302
2022-12-02,1.5913308
2022-12-03,1.3286833
2022-12-04,1.3512297
2022-12-05,1.2510837
2022-12-06,1.2685643
2022-12-07,1.0896432
2022-12-08,1.2901422
2022-12-09,1.387111
2022-12-10,1.1269704
2022-12-11,1.1516664
2022-12-12,1.0538636
2022-12-13,1.0733234
2022-12-14,0.89655715
2022-12-15,1.099215
2022-12-16,1.1982335
2022-12-17,0.94127643
2022-12-18,0.9685561
2022-12-19,0.87381047
2022-12-20,0.8966057
2022-12-21,0.72384703
2022-12-22,0.93106186
2022-12-23,1.0344143
2022-12-24,0.78232217
2022-12-25,0.8152812
2022-12-26,0.72658163
2022-12-27,0.75584114
2022-12-28,0.58968836
2022-12-29,0.80425775
2022-12-30,0.9156771
2022-12-31,0.6711654
2023-01-01,0.7124852
2023-01-02,0.63228166
2023-01-03,0.6703186
2023-01-04,0.51303965
2023-01-05,0.73620397
2023-01-06,0.8566534
2023-01-07,0.6211177
2023-01-08,0.67102015
2023-01-09,0.59926546
2023-01-10,0.6455025
2023-01-11,0.49622107
2023-01-12,0.7271754
2023-01-13,0.85440797
2023-01-14,0.62553877
2023-01-15,0.681646
2023-01-16,0.615442
2023-01-17,0.6667064
2023-01-18,0.5214816
2023-01-19,0.756015
2023-01-20,0.8866691
2023-01-21,0.659925
2023-01-22,0.7176096
2023-01-23,0.65238845
2023-01-24,0.7039137
2023-01-25,0.55879223
2023-01-26,0.7921195
2023-01-27,0.9213894
2023-01-28,0.69300854
2023-01-29,0.7482924
2023-01-30,0.6804171
2023-01-31,0.7288485
2023-02-01,0.5805047
2023-02-02,0.810598
2023-02-03,0.9359084
2023-02-04,0.7040774
2023-02-05,0.75581974
2023-02-06,0.6845862
2023-02-07,0.7296519
2023-02-08,0.5779385
2023-02-09,0.8057901
2023-02-10,0.928737
2023-02-11,0.6948123
2023-02-12,0.7453334
2023-02-13,0.6729417
2023-02-14,0.7179771
2023-02-15,0.5664589
2023-02-16,0.79495555
2023-02-17,0.9198747
2023-02-18,0.687798
2023-02-19,0.74111146
2023-02-20,0.6724819
2023-02-21,0.7215425
2023-02-22,0.5752307
2023-02-23,0.80872804
2023-02-24,0.9394873
2023-02-25,0.7142947
2023-02-26,0.7744156
2023-02-27,0.7130498
2023-02-28,0.7697316
2023-03-01,0.6311752
2023-03-02,0.8732616
2023-03-03,1.012084
2023-03-04,0.79547465
2023-03-05,0.8640279
2023-03-06,0.8111774
2023-03-07,0.8761258
2023-03-08,0.74566436
2023-03-09,0.9955723
2023-03-10,1.1418414
2023-03-11,0.9320504
2023-03-12,1.0074011
2023-03-13,0.9605465
2023-03-14,1.0311006
2023-03-15,0.9056458
2023-03-16,1.1600153
2023-03-17,1.3105013
2023-03-18,1.1038843
2023-03-19,1.1818942
2023-03-20,1.137093
2023-03-21,1.2092179
2023-03-22,1.0850126
2023-03-23,1.3397294
2023-03-24,1.4899154
2023-03-25,1.2829534
2023-03-26,1.36038
2023-03-27,1.3144785
2023-03-28,1.3855159
2023-03-29,1.2594242
2023-03-30,1.5128597
2023-03-31,1.6617919
2023-04-01,1.4532802
2023-04-02,1.5293927
2023-04-03,1.4827754
2023-04-04,1.5530653
2023-04-05,1.4269693
2023-04-06,1.6804122
2023-04-07,1.8303319
2023-04-08,1.623382
2023-04-09,1.7013041
2023-04-10,1.6572418
2023-04-11,1.7309666
2023-04-12,1.609213
2023-04-13,1.867354
2023-04-14,2.0227993
2023-04-15,1.822522
2023-04-16,1.9077809
2023-04-17,1.8716053
2023-04-18,1.9536974
2023-04-19,1.8410752
2023-04-20,2.109507
2023-04-21,2.274807
2023-04-22,2.0848305
2023-04-23,2.1809847
2023-04-24,2.1557035
2023-04-25,2.2490187
2023-04-26,2.1469338
2023-04-27,2.4259977
2023-04-28,2.6017401
2023-04-29,2.4214535
2023-04-30,2.5267177
2023-05-01,2.5099444
2023-05-02,2.6106684
2023-05-03,2.5151935
2023-05-04,2.799079
2023-05-05,2.9787772
2023-05-06,2.80111
2023-05-07,2.9071112
2023-05-08,2.8894453
2023-05-09,2.987717
2023-05-10,2.887403
2023-05-11,3.165167
2023-05-12,3.3364456
2023-05-13,3.1481738
2023-05-14,3.24167
2023-05-15,3.2094274
2023-05-16,3.2908952
2023-05-17,3.1723242
2023-05-18,3.429297
2023-05-19,3.5781593
2023-05-20,3.3657057
2023-05-21,3.4332838
2023-05-22,3.373674
2023-05-23,3.426134
2023-05-24,3.2775686
2023-05-25,3.5033314
2023-05-26,3.6197956
2023-05-27,3.374541
2023-05-28,3.4085858
2023-05-29,3.3152533
2023-05-30,3.3338306
2023-05-31,3.151582
2023-06-01,3.344309
2023-06-02,3.4280725
2023-06-03,3.150926
2023-06-04,3.1545444
