ds,yhat1
2022-07-26,23.115482
2022-07-27,23.122486
2022-07-28,23.128262
2022-07-29,23.07739
2022-07-30,23.066696
2022-07-31,23.097462
2022-08-01,23.08781
2022-08-02,23.05238
2022-08-03,23.062458
2022-08-04,23.071724
2022-08-05,23.024643
2022-08-06,23.01804
2022-08-07,23.053265
2022-08-08,23.048422
2022-08-09,23.01816
2022-08-10,23.033844
2022-08-11,23.048954
2022-08-12,23.008102
2022-08-13,23.008041
2022-08-14,23.050129
2022-08-15,23.052494
2022-08-16,23.029577
2022-08-17,23.052868
2022-08-18,23.075756
2022-08-19,23.04278
2022-08-20,23.050823
2022-08-21,23.100882
2022-08-22,23.111267
2022-08-23,23.096308
2022-08-24,23.127476
2022-08-25,23.15805
2022-08-26,23.132545
2022-08-27,23.147718
2022-08-28,23.204725
2022-08-29,23.22152
2022-08-30,23.21269
2022-08-31,23.249342
2022-09-01,23.285093
2022-09-02,23.26409
2022-09-03,23.283165
2022-09-04,23.343403
2022-09-05,23.362825
2022-09-06,23.355896
2022-09-07,23.393805
2022-09-08,23.429886
2022-09-09,23.40861
2022-09-10,23.42662
2022-09-11,23.48503
2022-09-12,23.50193
2022-09-13,23.491592
2022-09-14,23.52542
2022-09-15,23.556684
2022-09-16,23.529882
2022-09-17,23.541756
2022-09-18,23.593246
2022-09-19,23.602665
2022-09-20,23.584225
2022-09-21,23.609459
2022-09-22,23.63159
2022-09-23,23.595196
2022-09-24,23.596983
2022-09-25,23.638184
2022-09-26,23.636822
2022-09-27,23.60749
2022-09-28,23.621449
2022-09-29,23.632282
2022-09-30,23.584377
2022-10-01,23.574593
2022-10-02,23.604162
2022-10-03,23.591288
2022-10-04,23.550343
2022-10-05,23.552914
2022-10-06,23.552376
2022-10-07,23.4934
2022-10-08,23.472584
2022-10-09,23.491436
2022-10-10,23.46811
2022-10-11,23.416996
2022-10-12,23.409674
2022-10-13,23.39959
2022-10-14,23.331306
2022-10-15,23.301722
2022-10-16,23.311968
2022-10-17,23.28045
2022-10-18,23.221476
2022-10-19,23.206654
2022-10-20,23.189411
2022-10-21,23.114283
2022-10-22,23.078197
2022-10-23,23.082312
2022-10-24,23.04477
2022-10-25,22.98023
2022-10-26,22.960066
2022-10-27,22.937746
2022-10-28,22.857767
2022-10-29,22.817097
2022-10-30,22.816776
2022-10-31,22.775183
2022-11-01,22.706463
2022-11-02,22.682537
2022-11-03,22.656462
2022-11-04,22.573124
2022-11-05,22.528875
2022-11-06,22.52531
2022-11-07,22.480598
2022-11-08,22.409012
2022-11-09,22.382156
2022-11-10,22.353374
2022-11-11,22.267399
2022-11-12,22.220842
2022-11-13,22.215055
2022-11-14,22.168312
2022-11-15,22.094854
2022-11-16,22.066378
2022-11-17,22.036156
2022-11-18,21.949015
2022-11-19,21.901575
2022-11-20,21.895267
2022-11-21,21.848057
2022-11-22,21.774727
2022-11-23,21.746645
2022-11-24,21.717308
2022-11-25,21.631275
2022-11-26,21.585453
2022-11-27,21.58123
2022-11-28,21.536644
2022-11-29,21.466288
2022-11-30,21.441826
2022-12-01,21.416506
2022-12-02,21.33518
2022-12-03,21.294456
2022-12-04,21.295961
2022-12-05,21.257668
2022-12-06,21.194237
2022-12-07,21.177166
2022-12-08,21.159857
2022-12-09,21.087032
2022-12-10,21.05558
2022-12-11,21.06668
2022-12-12,21.038633
2022-12-13,20.985926
2022-12-14,20.980017
2022-12-15,20.974497
2022-12-16,20.913841
2022-12-17,20.894974
2022-12-18,20.919104
2022-12-19,20.904366
2022-12-20,20.865444
2022-12-21,20.873573
2022-12-22,20.88239
2022-12-23,20.83633
2022-12-24,20.832249
2022-12-25,20.87138
2022-12-26,20.871838
2022-12-27,20.848106
2022-12-28,20.871698
2022-12-29,20.895844
2022-12-30,20.865337
2022-12-31,20.876665
2023-01-01,20.931257
2023-01-02,20.947128
2023-01-03,20.93878
2023-01-04,20.97767
2023-01-05,21.017004
2023-01-06,21.001524
2023-01-07,21.027857
2023-01-08,21.097376
2023-01-09,21.127953
2023-01-10,21.134188
2023-01-11,21.187387
2023-01-12,21.24115
2023-01-13,21.239832
2023-01-14,21.280188
2023-01-15,21.363544
2023-01-16,21.40787
2023-01-17,21.427862
2023-01-18,21.494587
2023-01-19,21.561806
2023-01-20,21.573837
2023-01-21,21.627464
2023-01-22,21.724033
2023-01-23,21.781473
2023-01-24,21.814451
2023-01-25,21.894375
2023-01-26,21.974508
2023-01-27,21.99945
2023-01-28,22.06598
2023-01-29,22.175392
2023-01-30,22.245626
2023-01-31,22.291374
2023-02-01,22.38378
2023-02-02,22.476746
2023-02-03,22.514135
2023-02-04,22.593185
2023-02-05,22.714727
2023-02-06,22.797329
2023-02-07,22.855104
2023-02-08,22.959332
2023-02-09,23.063759
2023-02-10,23.112648
2023-02-11,23.202776
2023-02-12,23.335112
2023-02-13,23.42805
2023-02-14,23.495789
2023-02-15,23.609552
2023-02-16,23.723051
2023-02-17,23.780554
2023-02-18,23.878561
2023-02-19,24.018265
2023-02-20,24.117912
2023-02-21,24.191513
2023-02-22,24.310974
2023-02-23,24.42876
2023-02-24,24.49001
2023-02-25,24.590757
2023-02-26,24.732632
2023-02-27,24.833406
2023-02-28,24.907251
2023-03-01,25.025763
2023-03-02,25.142124
2023-03-03,25.200634
2023-03-04,25.297855
2023-03-05,25.43509
2023-03-06,25.530352
2023-03-07,25.597656
2023-03-08,25.708652
2023-03-09,25.816376
2023-03-10,25.865623
2023-03-11,25.952538
2023-03-12,26.07861
2023-03-13,26.161587
2023-03-14,26.216124
2023-03-15,26.313396
2023-03-16,26.406677
2023-03-17,26.440685
2023-03-18,26.511822
2023-03-19,26.621431
2023-03-20,26.687386
2023-03-21,26.724361
2023-03-22,26.8037
2023-03-23,26.87849
2023-03-24,26.893688
2023-03-25,26.945614
2023-03-26,27.035948
2023-03-27,27.082348
2023-03-28,27.099577
2023-03-29,27.158905
2023-03-30,27.213963
2023-03-31,27.209145
2023-04-01,27.24126
2023-04-02,27.311575
2023-04-03,27.33837
2023-04-04,27.335968
2023-04-05,27.375845
