ds,yhat1
2022-07-26,30.34884
2022-07-27,30.297497
2022-07-28,30.285137
2022-07-29,30.29853
2022-07-30,30.274437
2022-07-31,30.262815
2022-08-01,30.21949
2022-08-02,30.217945
2022-08-03,30.163525
2022-08-04,30.14774
2022-08-05,30.157555
2022-08-06,30.129759
2022-08-07,30.114544
2022-08-08,30.067627
2022-08-09,30.062717
2022-08-10,30.005062
2022-08-11,29.986515
2022-08-12,29.993973
2022-08-13,29.964218
2022-08-14,29.947632
2022-08-15,29.899925
2022-08-16,29.894827
2022-08-17,29.8377
2022-08-18,29.82029
2022-08-19,29.829697
2022-08-20,29.802517
2022-08-21,29.789192
2022-08-22,29.745464
2022-08-23,29.74501
2022-08-24,29.693138
2022-08-25,29.681572
2022-08-26,29.697239
2022-08-27,29.676926
2022-08-28,29.670795
2022-08-29,29.634556
2022-08-30,29.641813
2022-08-31,29.597794
2022-09-01,29.594032
2022-09-02,29.61748
2022-09-03,29.604706
2022-09-04,29.605915
2022-09-05,29.576565
2022-09-06,29.590195
2022-09-07,29.551931
2022-09-08,29.553349
2022-09-09,29.581085
2022-09-10,29.571747
2022-09-11,29.57537
2022-09-12,29.547361
2022-09-13,29.561268
2022-09-14,29.522112
2022-09-15,29.521307
2022-09-16,29.545658
2022-09-17,29.531544
2022-09-18,29.52917
2022-09-19,29.493797
2022-09-20,29.499083
2022-09-21,29.449905
2022-09-22,29.43794
2022-09-23,29.449806
2022-09-24,29.422142
2022-09-25,29.405022
2022-09-26,29.353962
2022-09-27,29.342634
2022-09-28,29.276028
2022-09-29,29.24586
2022-09-30,29.238922
2022-10-01,29.191986
2022-10-02,29.15521
2022-10-03,29.084368
2022-10-04,29.053013
2022-10-05,28.966507
2022-10-06,28.91664
2022-10-07,28.89026
2022-10-08,28.824469
2022-10-09,28.769344
2022-10-10,28.680904
2022-10-11,28.632793
2022-10-12,28.530533
2022-10-13,28.465958
2022-10-14,28.426096
2022-10-15,28.34801
2022-10-16,28.281935
2022-10-17,28.184027
2022-10-18,28.127893
2022-10-19,28.019192
2022-10-20,27.94969
2022-10-21,27.906517
2022-10-22,27.826708
2022-10-23,27.760542
2022-10-24,27.66398
2022-10-25,27.61088
2022-10-26,27.506672
2022-10-27,27.443018
2022-10-28,27.407204
