ds,yhat1
2022-07-26,23.18611
2022-07-27,23.158957
2022-07-28,23.159061
2022-07-29,23.12041
2022-07-30,23.105385
2022-07-31,23.13174
2022-08-01,23.102934
2022-08-02,23.11864
2022-08-03,23.094166
2022-08-04,23.097355
2022-08-05,23.062172
2022-08-06,23.050936
2022-08-07,23.081612
2022-08-08,23.057491
2022-08-09,23.078365
2022-08-10,23.05944
2022-08-11,23.068655
2022-08-12,23.039953
2022-08-13,23.035488
2022-08-14,23.073349
2022-08-15,23.056847
2022-08-16,23.085583
2022-08-17,23.074821
2022-08-18,23.092358
2022-08-19,23.072216
2022-08-20,23.07653
2022-08-21,23.123043
2022-08-22,23.115273
2022-08-23,23.152706
2022-08-24,23.150599
2022-08-25,23.176586
2022-08-26,23.16455
2022-08-27,23.176815
2022-08-28,23.230984
2022-08-29,23.230337
2022-08-30,23.274488
2022-08-31,23.278482
2022-09-01,23.310163
2022-09-02,23.303108
2022-09-03,23.319637
2022-09-04,23.377415
2022-09-05,23.379658
2022-09-06,23.42589
2022-09-07,23.431181
2022-09-08,23.463284
2022-09-09,23.45596
2022-09-10,23.471294
2022-09-11,23.526997
2022-09-12,23.52638
2022-09-13,23.56891
2022-09-14,23.569696
2022-09-15,23.596436
2022-09-16,23.583015
2022-09-17,23.591557
2022-09-18,23.63973
2022-09-19,23.630901
2022-09-20,23.664557
2022-09-21,23.655943
2022-09-22,23.67278
2022-09-23,23.648937
2022-09-24,23.646542
2022-09-25,23.683567
2022-09-26,23.663204
2022-09-27,23.685112
2022-09-28,23.66451
2022-09-29,23.6692
2022-09-30,23.633194
2022-10-01,23.618565
2022-10-02,23.643316
2022-10-03,23.610855
2022-10-04,23.62072
2022-10-05,23.588293
2022-10-06,23.581291
2022-10-07,23.533848
2022-10-08,23.508156
2022-10-09,23.522078
2022-10-10,23.479126
2022-10-11,23.478872
2022-10-12,23.43671
2022-10-13,23.420425
2022-10-14,23.363955
2022-10-15,23.329746
2022-10-16,23.335514
2022-10-17,23.284826
2022-10-18,23.277264
2022-10-19,23.228148
2022-10-20,23.205294
2022-10-21,23.142673
2022-10-22,23.102589
2022-10-23,23.102917
2022-10-24,23.04699
2022-10-25,23.034487
2022-10-26,22.980751
2022-10-27,22.953459
2022-10-28,22.886696
2022-10-29,22.842651
2022-10-30,22.839108
2022-10-31,22.779629
2022-11-01,22.763502
2022-11-02,22.70642
2022-11-03,22.675833
2022-11-04,22.605942
2022-11-05,22.558678
2022-11-06,22.55207
2022-11-07,22.489582
2022-11-08,22.470657
2022-11-09,22.410597
2022-11-10,22.377209
2022-11-11,22.304565
2022-11-12,22.254728
2022-11-13,22.245647
2022-11-14,22.180779
2022-11-15,22.159569
2022-11-16,22.097528
2022-11-17,22.062157
2022-11-18,21.987827
2022-11-19,21.936554
2022-11-20,21.926342
2022-11-21,21.860493
2022-11-22,21.838757
2022-11-23,21.776516
2022-11-24,21.741455
2022-11-25,21.667679
2022-11-26,21.617504
2022-11-27,21.608927
2022-11-28,21.545183
2022-11-29,21.526102
2022-11-30,21.467058
2022-12-01,21.435852
2022-12-02,21.366537
2022-12-03,21.321337
2022-12-04,21.318476
2022-12-05,21.261055
2022-12-06,21.24902
2022-12-07,21.197578
2022-12-08,21.174633
2022-12-09,21.11429
2022-12-10,21.078724
2022-12-11,21.08598
2022-12-12,21.039463
2022-12-13,21.038834
2022-12-14,20.9994
2022-12-15,20.988958
2022-12-16,20.94161
2022-12-17,20.919699
2022-12-18,20.940891
2022-12-19,20.908724
2022-12-20,20.92283
2022-12-21,20.898489
2022-12-22,20.903475
2022-12-23,20.871696
2022-12-24,20.865526
2022-12-25,20.902733
2022-12-26,20.886625
2022-12-27,20.91689
2022-12-28,20.908718
2022-12-29,20.929892
2022-12-30,20.914358
2022-12-31,20.924206
2023-01-01,20.977402
2023-01-02,20.97714
2023-01-03,21.023104
2023-01-04,21.030445
2023-01-05,21.066858
2023-01-06,21.066425
2023-01-07,21.09109
2023-01-08,21.15894
2023-01-09,21.172998
2023-01-10,21.23304
2023-01-11,21.254166
2023-01-12,21.304235
2023-01-13,21.317083
2023-01-14,21.35484
2023-01-15,21.435509
2023-01-16,21.462215
2023-01-17,21.53483
2023-01-18,21.568188
2023-01-19,21.63038
2023-01-20,21.655201
2023-01-21,21.704851
2023-01-22,21.797274
2023-01-23,21.835617
2023-01-24,21.91973
2023-01-25,21.964779
2023-01-26,22.03845
2023-01-27,22.074755
2023-01-28,22.13597
2023-01-29,22.239859
2023-01-30,22.28973
2023-01-31,22.3854
2023-02-01,22.441895
2023-02-02,22.527306
2023-02-03,22.575108
2023-02-04,22.64796
2023-02-05,22.763323
2023-02-06,22.824896
2023-02-07,22.93209
2023-02-08,22.999975
2023-02-09,23.09668
2023-02-10,23.15585
2023-02-11,23.239729
2023-02-12,23.366001
2023-02-13,23.438173
2023-02-14,23.555698
2023-02-15,23.633577
2023-02-16,23.739876
2023-02-17,23.808336
2023-02-18,23.900854
2023-02-19,24.035315
2023-02-20,24.115162
2023-02-21,24.239532
2023-02-22,24.324116
2023-02-23,24.435818
2023-02-24,24.509148
2023-02-25,24.605658
2023-02-26,24.743408
2023-02-27,24.825542
2023-02-28,24.95132
2023-03-01,25.036163
2023-03-02,25.147554
2023-03-03,25.219238
2023-03-04,25.313229
2023-03-05,25.44741
2023-03-06,25.524921
2023-03-07,25.645044
2023-03-08,25.723177
2023-03-09,25.826658
2023-03-10,25.889717
2023-03-11,25.973904
2023-03-12,26.097357
2023-03-13,26.163006
2023-03-14,26.27063
2023-03-15,26.335215
2023-03-16,26.424343
2023-03-17,26.47218
2023-03-18,26.540554
2023-03-19,26.64738
2023-03-20,26.695759
2023-03-21,26.785528
2023-03-22,26.831757
2023-03-23,26.90204
2023-03-24,26.930534
2023-03-25,26.979181
2023-03-26,27.066208
2023-03-27,27.09444
2023-03-28,27.16386
2023-03-29,27.189499
2023-03-30,27.239365
2023-03-31,27.247326
2023-04-01,27.27547
2023-04-02,27.341942
2023-04-03,27.35
2023-04-04,27.399265
2023-04-05,27.405005
2023-04-06,27.435097
2023-04-07,27.423641
2023-04-08,27.432652
2023-04-09,27.480165
2023-04-10,27.469597
2023-04-11,27.500614
2023-04-12,27.48845
2023-04-13,27.500885
2023-04-14,27.47207
2023-04-15,27.464176
2023-04-16,27.495052
2023-04-17,27.468098
2023-04-18,27.482979
2023-04-19,27.454958
2023-04-20,27.451885
2023-04-21,27.407696
2023-04-22,27.384567
2023-04-23,27.400463
2023-04-24,27.358685
2023-04-25,27.358868
2023-04-26,27.316275
2023-04-27,27.298622
2023-04-28,27.240044
2023-04-29,27.202515
2023-04-30,27.20412
2023-05-01,27.148058
2023-05-02,27.133947
2023-05-03,27.077152
2023-05-04,27.045269
2023-05-05,26.972416
2023-05-06,26.920753
2023-05-07,26.90822
2023-05-08,26.83804
2023-05-09,26.809992
2023-05-10,26.739084
2023-05-11,26.693531
2023-05-12,26.607044
2023-05-13,26.541975
2023-05-14,26.51609
2023-05-15,26.432888
2023-05-16,26.392178
2023-05-17,26.309027
2023-05-18,26.251385
2023-05-19,26.153389
2023-05-20,26.077322
2023-05-21,26.040932
2023-05-22,25.947912
2023-05-23,25.897964
2023-05-24,25.80629
2023-05-25,25.74097
2023-05-26,25.635792
2023-05-27,25.55355
2023-05-28,25.511826
2023-05-29,25.414463
2023-05-30,25.360897
2023-05-31,25.266651
2023-06-01,25.199791
2023-06-02,25.09415
2023-06-03,25.012207
2023-06-04,24.972008
2023-06-05,24.877064
2023-06-06,24.826984
2023-06-07,24.737213
2023-06-08,24.67583
2023-06-09,24.57668
2023-06-10,24.502178
2023-06-11,24.470182
2023-06-12,24.384369
2023-06-13,24.344236
2023-06-14,24.26531
2023-06-15,24.215202
2023-06-16,24.128178
2023-06-17,24.066395
2023-06-18,24.047546
2023-06-19,23.975344
2023-06-20,23.949245
2023-06-21,23.884659
2023-06-22,23.849083
2023-06-23,23.77671
2023-06-24,23.729816
2023-06-25,23.72585
2023-06-26,23.668468
2023-06-27,23.656918
2023-06-28,23.606766
2023-06-29,23.585445
2023-06-30,23.526974
2023-07-01,23.493372
2023-07-02,23.502487
2023-07-03,23.457623
2023-07-04,23.45815
2023-07-05,23.419325
2023-07-06,23.40885
2023-07-07,23.360645
2023-07-08,23.336573
2023-07-09,23.354654
2023-07-10,23.318024
2023-07-11,23.32619
2023-07-12,23.294376
2023-07-13,23.290138
2023-07-14,23.247618
2023-07-15,23.228706
2023-07-16,23.251286
2023-07-17,23.218628
2023-07-18,23.230291
2023-07-19,23.20151
2023-07-20,23.200003
2023-07-21,23.159687
2023-07-22,23.14275
2023-07-23,23.167072
2023-07-24,23.135983
2023-07-25,23.149078
2023-07-26,23.121616
2023-07-27,23.121408
2023-07-28,23.082539
2023-07-29,23.067017
2023-07-30,23.0929
2023-07-31,23.063585
2023-08-01,23.078688
2023-08-02,23.05355
2023-08-03,23.05591
2023-08-04,23.020006
2023-08-05,23.007868
2023-08-06,23.037493
2023-08-07,23.01233
2023-08-08,23.032026
2023-08-09,23.011951
2023-08-10,23.019825
2023-08-11,22.989746
2023-08-12,22.983948
2023-08-13,23.020315
2023-08-14,23.002289
2023-08-15,23.029469
2023-08-16,23.017113
2023-08-17,23.033092
2023-08-18,23.011358
2023-08-19,23.014036
2023-08-20,23.059103
2023-08-21,23.049763
2023-08-22,23.085714
2023-08-23,23.082119
2023-08-24,23.10669
2023-08-25,23.093502
2023-08-26,23.104418
2023-08-27,23.157475
2023-08-28,23.15582
2023-08-29,23.199034
2023-08-30,23.202251
2023-08-31,23.23317
2023-09-01,23.225681
2023-09-02,23.241793
2023-09-03,23.299253
2023-09-04,23.301432
2023-09-05,23.347706
2023-09-06,23.353191
2023-09-07,23.385643
2023-09-08,23.378792
2023-09-09,23.39476
2023-09-10,23.451283
2023-09-11,23.45159
2023-09-12,23.495224
2023-09-13,23.497227
2023-09-14,23.525326
