ds,yhat1
2022-07-26,5.416747
2022-07-27,5.4007473
2022-07-28,5.1797843
2022-07-29,5.276045
2022-07-30,5.2178097
2022-07-31,4.8346286
2022-08-01,5.086775
2022-08-02,5.274625
2022-08-03,5.2374725
2022-08-04,4.996305
2022-08-05,5.0755277
2022-08-06,5.0027127
2022-08-07,4.6069374
2022-08-08,4.8490596
2022-08-09,5.0288854
2022-08-10,4.9858537
2022-08-11,4.7418337
2022-08-12,4.8193517
2022-08-13,4.747201
2022-08-14,4.353737
2022-08-15,4.5987463
2022-08-16,4.7847023
2022-08-17,4.748103
2022-08-18,4.5118823
2022-08-19,4.5977073
2022-08-20,4.5338993
2022-08-21,4.1508756
2022-08-22,4.4058003
2022-08-23,4.6017284
2022-08-24,4.5746455
2022-08-25,4.34774
2022-08-26,4.442831
2022-08-27,4.387403
2022-08-28,4.010702
2022-08-29,4.2725496
2022-08-30,4.47241
2022-08-31,4.4494653
2022-09-01,4.223674
2022-09-02,4.3191514
2022-09-03,4.2625966
2022-09-04,3.882881
2022-09-05,4.1400084
2022-09-06,4.3333592
2022-09-07,4.3017135
2022-09-08,4.066609
2022-09-09,4.1501207
2022-09-10,4.0803547
2022-09-11,3.6860266
2022-09-12,3.9260554
2022-09-13,4.102734
2022-09-14,4.0524135
2022-09-15,3.7978644
2022-09-16,3.8609135
2022-09-17,3.7693756
2022-09-18,3.3539186
2022-09-19,3.5721536
2022-09-20,3.7269764
2022-09-21,3.654763
2022-09-22,3.3784966
2022-09-23,3.4206111
2022-09-24,3.3097312
2022-09-25,2.8742526
2022-09-26,3.0750377
2022-09-27,3.2121148
2022-09-28,3.1249738
2022-09-29,2.8347
2022-09-30,2.864489
2022-10-01,2.743466
2022-10-02,2.300011
2022-10-03,2.4940667
2022-10-04,2.6280973
2022-10-05,2.5387444
2022-10-06,2.2499235
2022-10-07,2.2827775
2022-10-08,2.166808
2022-10-09,1.7309872
2022-10-10,1.9349152
2022-10-11,2.0810528
2022-10-12,2.0055933
2022-10-13,1.7325783
2022-10-14,1.7839375
2022-10-15,1.6876955
2022-10-16,1.2729667
2022-10-17,1.4997354
2022-10-18,1.6697204
2022-10-19,1.6204786
2022-10-20,1.3727283
2022-10-21,1.4506038
2022-10-22,1.3818438
2022-10-23,0.9948374
2022-10-24,1.250026
2022-10-25,1.4468732
2022-10-26,1.424855
2022-10-27,1.2042925
2022-10-28,1.308247
2022-10-29,1.2650526
2022-10-30,0.9026826
2022-10-31,1.1804675
2022-11-01,1.4002916
2022-11-02,1.3983928
2022-11-03,1.1976427
2022-11-04,1.3194158
2022-11-05,1.2921582
2022-11-06,0.944169
2022-11-07,1.2346019
2022-11-08,1.4653364
2022-11-09,1.4725091
2022-11-10,1.279074
2022-11-11,1.4065813
2022-11-12,1.3829201
2022-11-13,1.0370724
2022-11-14,1.3282748
2022-11-15,1.558227
2022-11-16,1.563766
2022-11-17,1.36636
2022-11-18,1.4894208
2022-11-19,1.4603778
2022-11-20,1.1084158
2022-11-21,1.3934218
2022-11-22,1.6150981
2022-11-23,1.6127537
2022-11-24,1.4073038
2022-11-25,1.5221286
2022-11-26,1.4848696
2022-11-27,1.1248413
2022-11-28,1.4014665
2022-11-29,1.6167667
2022-11-30,1.6074321
2022-12-01,1.3964725
2022-12-02,1.5060264
2022-12-03,1.4650135
2022-12-04,1.1016049
2022-12-05,1.3760296
2022-12-06,1.5901088
2022-12-07,1.5807017
2022-12-08,1.3709716
2022-12-09,1.4826635
2022-12-10,1.444833
2022-12-11,1.0857794
2022-12-12,1.3654246
2022-12-13,1.5858356
2022-12-14,1.5840167
2022-12-15,1.381955
2022-12-16,1.5026653
2022-12-17,1.47359
2022-12-18,1.1247178
2022-12-19,1.4156438
2022-12-20,1.6458797
2022-12-21,1.6547514
2022-12-22,1.4633385
2022-12-23,1.5951531
2022-12-24,1.5768936
2022-12-25,1.2382154
2022-12-26,1.5381439
2022-12-27,1.7785581
2022-12-28,1.7958733
2022-12-29,1.6126827
2022-12-30,1.7510092
2022-12-31,1.739293
