ds,yhat1
2022-07-26,28.680775
2022-07-27,28.659946
2022-07-28,28.624924
2022-07-29,28.64954
2022-07-30,28.648342
2022-07-31,28.6846
2022-08-01,28.670225
2022-08-02,28.69255
2022-08-03,28.664474
2022-08-04,28.621235
2022-08-05,28.637056
2022-08-06,28.626507
2022-08-07,28.653027
2022-08-08,28.628693
2022-08-09,28.641024
2022-08-10,28.602688
2022-08-11,28.549747
2022-08-12,28.556097
2022-08-13,28.53643
2022-08-14,28.55449
2022-08-15,28.52228
2022-08-16,28.527763
2022-08-17,28.483526
2022-08-18,28.42556
2022-08-19,28.428047
2022-08-20,28.40583
2022-08-21,28.422447
2022-08-22,28.390234
2022-08-23,28.39698
2022-08-24,28.3555
2022-08-25,28.301662
2022-08-26,28.309603
2022-08-27,28.294304
2022-08-28,28.31934
2022-08-29,28.296814
2022-08-30,28.314465
2022-08-31,28.28524
2022-09-01,28.244781
2022-09-02,28.267239
2022-09-03,28.267467
2022-09-04,28.308853
2022-09-05,28.303612
2022-09-06,28.339275
2022-09-07,28.32848
2022-09-08,28.307112
2022-09-09,28.349022
2022-09-10,28.368847
2022-09-11,28.429932
2022-09-12,28.444317
2022-09-13,28.499489
2022-09-14,28.50791
2022-09-15,28.505257
2022-09-16,28.565447
2022-09-17,28.602875
2022-09-18,28.680721
2022-09-19,28.711033
2022-09-20,28.781128
2022-09-21,28.803474
2022-09-22,28.813648
2022-09-23,28.885284
2022-09-24,28.932858
2022-09-25,29.01966
2022-09-26,29.057472
2022-09-27,29.133623
2022-09-28,29.160606
2022-09-29,29.173653
2022-09-30,29.246952
2022-10-01,29.294601
2022-10-02,29.379978
2022-10-03,29.414814
2022-10-04,29.486637
2022-10-05,29.507765
2022-10-06,29.513699
2022-10-07,29.578424
2022-10-08,29.616364
2022-10-09,29.690727
2022-10-10,29.713404
2022-10-11,29.771849
2022-10-12,29.778753
2022-10-13,29.769484
2022-10-14,29.817997
2022-10-15,29.838932
2022-10-16,29.895626
2022-10-17,29.9
2022-10-18,29.93965
2022-10-19,29.927048
2022-10-20,29.897953
2022-10-21,29.92637
2022-10-22,29.926853
2022-10-23,29.96289
2022-10-24,29.946455
2022-10-25,29.965214
2022-10-26,29.931757
2022-10-27,29.881714
2022-10-28,29.889347
2022-10-29,29.869122
2022-10-30,29.884583
2022-10-31,29.84779
2022-11-01,29.84634
2022-11-02,29.792973
2022-11-03,29.723415
2022-11-04,29.711613
2022-11-05,29.67239
2022-11-06,29.669176
2022-11-07,29.614033
2022-11-08,29.59456
2022-11-09,29.523474
2022-11-10,29.436539
2022-11-11,29.407867
2022-11-12,29.352032
2022-11-13,29.332521
2022-11-14,29.261547
2022-11-15,29.226593
2022-11-16,29.140541
2022-11-17,29.038712
2022-11-18,28.995703
2022-11-19,28.925854
2022-11-20,28.892889
2022-11-21,28.808697
2022-11-22,28.760914
2022-11-23,28.662579
2022-11-24,28.548962
2022-11-25,28.494442
2022-11-26,28.413685
2022-11-27,28.370298
2022-11-28,28.276205
2022-11-29,28.219103
2022-11-30,28.111835
2022-12-01,27.990185
2022-12-02,27.928059
2022-12-03,27.84042
2022-12-04,27.790848
2022-12-05,27.691145
2022-12-06,27.629532
2022-12-07,27.5182
2022-12-08,27.393286
2022-12-09,27.328896
2022-12-10,27.23986
2022-12-11,27.189472
2022-12-12,27.09011
2022-12-13,27.029621
2022-12-14,26.920536
2022-12-15,26.798561
2022-12-16,26.738153
2022-12-17,26.654139
2022-12-18,26.60978
2022-12-19,26.51736
2022-12-20,26.464739
2022-12-21,26.364548
2022-12-22,26.25253
2022-12-23,26.20274
2022-12-24,26.130394
2022-12-25,26.098598
2022-12-26,26.019783
2022-12-27,25.981329
2022-12-28,25.896095
2022-12-29,25.800144
2022-12-30,25.767143
2022-12-31,25.712069
2023-01-01,25.69833
2023-01-02,25.638123
2023-01-03,25.618988
2023-01-04,25.553547
2023-01-05,25.477795
2023-01-06,25.465601
2023-01-07,25.431656
2023-01-08,25.439325
2023-01-09,25.400856
2023-01-10,25.403748
2023-01-11,25.360737
2023-01-12,25.307283
2023-01-13,25.317547
2023-01-14,25.30622
2023-01-15,25.336624
2023-01-16,25.320766
2023-01-17,25.346334
2023-01-18,25.325785
2023-01-19,25.294775
2023-01-20,25.327414
2023-01-21,25.338276
2023-01-22,25.390667
2023-01-23,25.396633
2023-01-24,25.44376
2023-01-25,25.444517
2023-01-26,25.434645
2023-01-27,25.488068
2023-01-28,25.519463
2023-01-29,25.592094
2023-01-30,25.61787
2023-01-31,25.684471
2023-02-01,25.70448
2023-02-02,25.71341
2023-02-03,25.785244
2023-02-04,25.834644
2023-02-05,25.92477
2023-02-06,25.967838
2023-02-07,26.051151
2023-02-08,26.08739
2023-02-09,26.112144
2023-02-10,26.199343
2023-02-11,26.263493
2023-02-12,26.367846
2023-02-13,26.42455
2023-02-14,26.521072
2023-02-15,26.569664
2023-02-16,26.606194
2023-02-17,26.704508
2023-02-18,26.779083
2023-02-19,26.893164
2023-02-20,26.958765
2023-02-21,27.06324
2023-02-22,27.119328
2023-02-23,27.162216
2023-02-24,27.26608
2023-02-25,27.345253
2023-02-26,27.46313
2023-02-27,27.531479
2023-02-28,27.637768
2023-03-01,27.694643
2023-03-02,27.737396
2023-03-03,27.840109
2023-03-04,27.917065
2023-03-05,28.031727
2023-03-06,28.09598
2023-03-07,28.197063
2023-03-08,28.247807
2023-03-09,28.283405
2023-03-10,28.378216
2023-03-11,28.446278
2023-03-12,28.55126
2023-03-13,28.604849
2023-03-14,28.694798
2023-03-15,28.733591
2023-03-16,28.756641
2023-03-17,28.83823
2023-03-18,28.892838
2023-03-19,28.983822
2023-03-20,29.02312
2023-03-21,29.098522
2023-03-22,29.122574
2023-03-23,29.130917
2023-03-24,29.197718
2023-03-25,29.23765
2023-03-26,29.31435
2023-03-27,29.339554
2023-03-28,29.40131
2023-03-29,29.412025
2023-03-30,29.407795
2023-03-31,29.46272
2023-04-01,29.491299
2023-04-02,29.557419
2023-04-03,29.573105
2023-04-04,29.626175
2023-04-05,29.62926
2023-04-06,29.618256
2023-04-07,29.66756
2023-04-08,29.691525
2023-04-09,29.75416
2023-04-10,29.76735
2023-04-11,29.81922
2023-04-12,29.822048
2023-04-13,29.811834
2023-04-14,29.862759
2023-04-15,29.889751
2023-04-16,29.956078
2023-04-17,29.973866
2023-04-18,30.030838
2023-04-19,30.039679
2023-04-20,30.03627
2023-04-21,30.094286
2023-04-22,30.12875
2023-04-23,30.202816
2023-04-24,30.228497
2023-04-25,30.293545
2023-04-26,30.310184
2023-04-27,30.314392
2023-04-28,30.379793
2023-04-29,30.420961
2023-04-30,30.501171
2023-05-01,30.532368
2023-05-02,30.601982
2023-05-03,30.622326
2023-05-04,30.628855
2023-05-05,30.69566
2023-05-06,30.736862
2023-05-07,30.815666
2023-05-08,30.843992
2023-05-09,30.909138
2023-05-10,30.923462
2023-05-11,30.922367
2023-05-12,30.979687
2023-05-13,31.009792
2023-05-14,31.07582
2023-05-15,31.08961
2023-05-16,31.138521
2023-05-17,31.134932
2023-05-18,31.11425
2023-05-19,31.15047
2023-05-20,31.158031
2023-05-21,31.200115
2023-05-22,31.188581
2023-05-23,31.211027
2023-05-24,31.179943
2023-05-25,31.130875
2023-05-26,31.13781
2023-05-27,31.11551
2023-05-28,31.127174
2023-05-29,31.085083
2023-05-30,31.076647
2023-05-31,31.014805
2023-06-01,30.93523
2023-06-02,30.912006
2023-06-03,30.860025
2023-06-04,30.842796
2023-06-05,30.77277
2023-06-06,30.737482
2023-06-07,30.649805
2023-06-08,30.54596
2023-06-09,30.499922
2023-06-10,30.426882
2023-06-11,30.390202
2023-06-12,30.30264
2023-06-13,30.251839
2023-06-14,30.150932
2023-06-15,30.035595
2023-06-16,29.980488
2023-06-17,29.900612
2023-06-18,29.859383
2023-06-19,29.769348
2023-06-20,29.71843
2023-06-21,29.61966
2023-06-22,29.50859
2023-06-23,29.460003
2023-06-24,29.388594
2023-06-25,29.35785
2023-06-26,29.280348
2023-06-27,29.243408
2023-06-28,29.160439
2023-06-29,29.066784
2023-06-30,29.03683
2023-07-01,28.985256
2023-07-02,28.975498
2023-07-03,28.919807
2023-07-04,28.905605
2023-07-05,28.845608
2023-07-06,28.77549
2023-07-07,28.76928
2023-07-08,28.74144
2023-07-09,28.755327
2023-07-10,28.722912
2023-07-11,28.731564
2023-07-12,28.693844
2023-07-13,28.645031
2023-07-14,28.65937
2023-07-15,28.651049
2023-07-16,28.683228
2023-07-17,28.66784
2023-07-18,28.69223
2023-07-19,28.668701
2023-07-20,28.632809
2023-07-21,28.65833
2023-07-22,28.659555
2023-07-23,28.699795
2023-07-24,28.690825
2023-07-25,28.719944
2023-07-26,28.699654
2023-07-27,28.665333
2023-07-28,28.691006
2023-07-29,28.691002
2023-07-30,28.72853
2023-07-31,28.715593
2023-08-01,28.73964
2023-08-02,28.713198
2023-08-03,28.671715
2023-08-04,28.689438
2023-08-05,28.680717
2023-08-06,28.709078
2023-08-07,28.686523
2023-08-08,28.700562
2023-08-09,28.664137
2023-08-10,28.6126
2023-08-11,28.62035
2023-08-12,28.602077
2023-08-13,28.621202
2023-08-14,28.590069
2023-08-15,28.596203
2023-08-16,28.55244
2023-08-17,28.494774
2023-08-18,28.497389
2023-08-19,28.474892
2023-08-20,28.491116
2023-08-21,28.458145
2023-08-22,28.464005
2023-08-23,28.421284
2023-08-24,28.365894
2023-08-25,28.372238
2023-08-26,28.354954
2023-08-27,28.37778
2023-08-28,28.352856
2023-08-29,28.367954
2023-08-30,28.335888
2023-08-31,28.292475
2023-09-01,28.311874
2023-09-02,28.308857
2023-09-03,28.346931
2023-09-04,28.338236
2023-09-05,28.370369
2023-09-06,28.356133
2023-09-07,28.331142
2023-09-08,28.369448
2023-09-09,28.385756
2023-09-10,28.44336
2023-09-11,28.454338
2023-09-12,28.506222
2023-09-13,28.5115
2023-09-14,28.505772
2023-09-15,28.562958
2023-09-16,28.597649
2023-09-17,28.673065
2023-09-18,28.701029
2023-09-19,28.769014
2023-09-20,28.789518
2023-09-21,28.797947
2023-09-22,28.868252
2023-09-23,28.914757
2023-09-24,29.000683
2023-09-25,29.03789
2023-09-26,29.11371
2023-09-27,29.14056
2023-09-28,29.154026
2023-09-29,29.227676
2023-09-30,29.276152
2023-10-01,29.362503
2023-10-02,29.398655
2023-10-03,29.471996
2023-10-04,29.494848
2023-10-05,29.502796
2023-10-06,29.56968
2023-10-07,29.609974
2023-10-08,29.686848
2023-10-09,29.712278
2023-10-10,29.773693
2023-10-11,29.783571
2023-10-12,29.777372
2023-10-13,29.8293
2023-10-14,29.853626
2023-10-15,29.913754
2023-10-16,29.921692
2023-10-17,29.96487
2023-10-18,29.956062
2023-10-19,29.93065
2023-10-20,29.962738
2023-10-21,29.967033
2023-10-22,30.006798
2023-10-23,29.994144
2023-10-24,30.016594
2023-10-25,29.986801
2023-10-26,29.940533
2023-10-27,29.951748
2023-10-28,29.935198
2023-10-29,29.95419
2023-10-30,29.920933
2023-10-31,29.923023
2023-11-01,29.873007
2023-11-02,29.806782
2023-11-03,29.798279
2023-11-04,29.76231
2023-11-05,29.762188
2023-11-06,29.710192
2023-11-07,29.693745
2023-11-08,29.625656
2023-11-09,29.541697
2023-11-10,29.515781
2023-11-11,29.4627
2023-11-12,29.445938
2023-11-13,29.3776
2023-11-14,29.345203
2023-11-15,29.261509
2023-11-16,29.16231
2023-11-17,29.121607
2023-11-18,29.054176
2023-11-19,29.023205
2023-11-20,28.941204
2023-11-21,28.895565
2023-11-22,28.799118
2023-11-23,28.687374
2023-11-24,28.634682
2023-11-25,28.555758
2023-11-26,28.513824
2023-11-27,28.42118
2023-11-28,28.365461
2023-11-29,28.259598
2023-11-30,28.138973
2023-12-01,28.077843
2023-12-02,27.991228
2023-12-03,27.942215
2023-12-04,27.843372
2023-12-05,27.78178
2023-12-06,27.6709
2023-12-07,27.546162
2023-12-08,27.481834
2023-12-09,27.392511
2023-12-10,27.341805
2023-12-11,27.24212
